12:02:52 | INFO | [default] τ=0.95 λ=1.0 | Epoch  93/100 | Loss: 0.1387 (sup:0.0078 unsup:0.1309) | Val: 63.67% | Test: 61.47% | Mask: 0.578
12:03:02 | INFO | [default] τ=0.95 λ=1.0 | Epoch  94/100 | Loss: 0.1496 (sup:0.0073 unsup:0.1423) | Val: 63.67% | Test: 61.80% | Mask: 0.585
12:03:12 | INFO | [default] τ=0.95 λ=1.0 | Epoch  95/100 | Loss: 0.1488 (sup:0.0038 unsup:0.1449) | Val: 64.33% | Test: 61.83% | Mask: 0.582
12:03:23 | INFO | [default] τ=0.95 λ=1.0 | Epoch  96/100 | Loss: 0.1426 (sup:0.0055 unsup:0.1370) | Val: 65.00% | Test: 61.67% | Mask: 0.581
12:03:33 | INFO | [default] τ=0.95 λ=1.0 | Epoch  97/100 | Loss: 0.1464 (sup:0.0047 unsup:0.1417) | Val: 64.00% | Test: 61.87% | Mask: 0.580
12:03:44 | INFO | [default] τ=0.95 λ=1.0 | Epoch  98/100 | Loss: 0.1499 (sup:0.0056 unsup:0.1443) | Val: 64.00% | Test: 61.73% | Mask: 0.590
12:03:51 | INFO | [default] τ=0.95 λ=1.0 | Epoch  99/100 | Loss: 0.1490 (sup:0.0043 unsup:0.1446) | Val: 64.33% | Test: 61.80% | Mask: 0.580
12:03:58 | INFO | [default] τ=0.95 λ=1.0 | Epoch 100/100 | Loss: 0.1454 (sup:0.0045 unsup:0.1408) | Val: 64.33% | Test: 61.60% | Mask: 0.585
12:03:58 | INFO | [default] Best Test Accuracy: 62.77%
12:04:06 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   1/100 | Loss: 3.0435 (sup:2.8669 unsup:0.3534) | Val: 33.33% | Test: 34.10% | Mask: 0.713
12:04:12 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   2/100 | Loss: 1.1210 (sup:1.0719 unsup:0.0980) | Val: 44.00% | Test: 42.10% | Mask: 0.225
12:04:19 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   3/100 | Loss: 1.1209 (sup:1.0544 unsup:0.1331) | Val: 44.00% | Test: 47.20% | Mask: 0.309
12:04:26 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   4/100 | Loss: 1.0571 (sup:0.9748 unsup:0.1647) | Val: 44.67% | Test: 45.63% | Mask: 0.357
12:04:33 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   5/100 | Loss: 1.1217 (sup:1.0304 unsup:0.1825) | Val: 45.67% | Test: 46.20% | Mask: 0.451
12:04:40 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   6/100 | Loss: 1.1160 (sup:1.0175 unsup:0.1971) | Val: 46.00% | Test: 46.70% | Mask: 0.451
12:04:47 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   7/100 | Loss: 1.0226 (sup:0.9161 unsup:0.2129) | Val: 51.67% | Test: 49.50% | Mask: 0.458
12:04:54 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   8/100 | Loss: 0.9452 (sup:0.8310 unsup:0.2285) | Val: 54.00% | Test: 51.90% | Mask: 0.477
12:05:01 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch   9/100 | Loss: 0.9837 (sup:0.8527 unsup:0.2620) | Val: 55.00% | Test: 53.93% | Mask: 0.535
12:05:10 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  10/100 | Loss: 0.8937 (sup:0.7719 unsup:0.2436) | Val: 50.00% | Test: 46.77% | Mask: 0.535
12:05:21 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  11/100 | Loss: 0.8667 (sup:0.7430 unsup:0.2474) | Val: 52.67% | Test: 50.67% | Mask: 0.530
12:05:30 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  12/100 | Loss: 0.7731 (sup:0.6276 unsup:0.2909) | Val: 53.33% | Test: 54.97% | Mask: 0.565
12:05:38 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  13/100 | Loss: 0.8591 (sup:0.7043 unsup:0.3095) | Val: 53.00% | Test: 48.87% | Mask: 0.612
12:05:46 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  14/100 | Loss: 0.6944 (sup:0.5275 unsup:0.3338) | Val: 53.67% | Test: 49.47% | Mask: 0.615
12:05:54 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  15/100 | Loss: 0.7095 (sup:0.5163 unsup:0.3863) | Val: 55.00% | Test: 55.13% | Mask: 0.657
12:06:03 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  16/100 | Loss: 0.6303 (sup:0.4255 unsup:0.4096) | Val: 54.67% | Test: 51.07% | Mask: 0.679
12:06:13 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  17/100 | Loss: 0.5992 (sup:0.3850 unsup:0.4284) | Val: 58.00% | Test: 54.37% | Mask: 0.703
12:06:26 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  18/100 | Loss: 0.5791 (sup:0.3572 unsup:0.4438) | Val: 56.67% | Test: 53.73% | Mask: 0.710
12:06:38 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  19/100 | Loss: 0.5186 (sup:0.2937 unsup:0.4497) | Val: 58.00% | Test: 55.80% | Mask: 0.722
12:06:51 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  20/100 | Loss: 0.4975 (sup:0.2562 unsup:0.4826) | Val: 58.67% | Test: 54.00% | Mask: 0.748
12:07:03 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  21/100 | Loss: 0.5248 (sup:0.2883 unsup:0.4729) | Val: 57.00% | Test: 54.00% | Mask: 0.747
12:07:15 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  22/100 | Loss: 0.4534 (sup:0.2058 unsup:0.4950) | Val: 56.00% | Test: 54.83% | Mask: 0.773
12:07:28 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  23/100 | Loss: 0.4387 (sup:0.1990 unsup:0.4794) | Val: 61.00% | Test: 56.83% | Mask: 0.752
12:07:41 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  24/100 | Loss: 0.3829 (sup:0.1333 unsup:0.4992) | Val: 59.33% | Test: 55.10% | Mask: 0.777
12:07:53 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  25/100 | Loss: 0.3919 (sup:0.1445 unsup:0.4948) | Val: 58.67% | Test: 53.13% | Mask: 0.773
12:08:06 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  26/100 | Loss: 0.3839 (sup:0.1456 unsup:0.4764) | Val: 60.33% | Test: 56.43% | Mask: 0.773
12:08:18 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  27/100 | Loss: 0.3689 (sup:0.1253 unsup:0.4870) | Val: 58.67% | Test: 55.63% | Mask: 0.763
12:08:30 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  28/100 | Loss: 0.3727 (sup:0.1224 unsup:0.5006) | Val: 62.67% | Test: 59.17% | Mask: 0.789
12:08:44 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  29/100 | Loss: 0.3216 (sup:0.0750 unsup:0.4931) | Val: 62.00% | Test: 56.90% | Mask: 0.785
12:08:57 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  30/100 | Loss: 0.3077 (sup:0.0636 unsup:0.4882) | Val: 65.00% | Test: 59.43% | Mask: 0.800
12:09:10 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  31/100 | Loss: 0.3032 (sup:0.0729 unsup:0.4607) | Val: 61.67% | Test: 59.03% | Mask: 0.791
12:09:23 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  32/100 | Loss: 0.3198 (sup:0.0899 unsup:0.4597) | Val: 60.33% | Test: 59.20% | Mask: 0.792
12:09:37 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  33/100 | Loss: 0.3204 (sup:0.0805 unsup:0.4797) | Val: 64.33% | Test: 58.73% | Mask: 0.797
12:09:51 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  34/100 | Loss: 0.2807 (sup:0.0501 unsup:0.4613) | Val: 63.33% | Test: 59.33% | Mask: 0.787
12:10:04 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  35/100 | Loss: 0.2957 (sup:0.0750 unsup:0.4415) | Val: 60.67% | Test: 60.23% | Mask: 0.798
12:10:18 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  36/100 | Loss: 0.2724 (sup:0.0434 unsup:0.4581) | Val: 61.00% | Test: 58.17% | Mask: 0.801
12:10:31 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  37/100 | Loss: 0.2718 (sup:0.0420 unsup:0.4597) | Val: 62.33% | Test: 60.20% | Mask: 0.801
12:10:44 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  38/100 | Loss: 0.2592 (sup:0.0411 unsup:0.4362) | Val: 62.00% | Test: 61.60% | Mask: 0.797
12:10:58 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  39/100 | Loss: 0.2464 (sup:0.0319 unsup:0.4291) | Val: 63.33% | Test: 58.80% | Mask: 0.807
12:11:12 | INFO | [tau0.7_lam0.5] τ=0.7 λ=0.5 | Epoch  40/100 | Loss: 0.2440 (sup:0.0321 unsup:0.4237) | Val: 65.33% | Test: 60.00% | Mask: 0.807
